"Time stamp";"Relative time";"Fault number";"Entry number";"Functions structure";"Name";"Value";"Quality";"Cause";"Number";
"13.04.2026  09:37:16.257 (50)";"";"149";"";"Fault log";"";"";"";"";"";
"13.04.2026  09:37:19.637";"00:00:00:03.380";"";"50";"Recording:Fault recorder:Control";"Recording started";"off";"good (process)";"Data change";"81.791.2761.311";
"13.04.2026  09:37:17.012";"00:00:00:00.755";"";"49";"DJ289kV:Circuit break.";"Definitive trip";"off";"good (process)";"Data change";"201.4261.303";
"13.04.2026  09:37:17.012";"00:00:00:00.755";"";"48";"DJ138kV:Circuit break.";"Definitive trip";"off";"good (process)";"Data change";"202.4261.303";
"13.04.2026  09:37:16.582";"00:00:00:00.325";"";"47";"DJ138kV:Circuit break.";"Trip/open cmd.";"off";"good (process)";"Data change";"202.4261.300";
"13.04.2026  09:37:16.553";"00:00:00:00.296";"";"46";"Lado 13,8kV:50/51 OC-Pos.Seq.1:Group indicat.";"Operate";"off";"good (process)";"Data change";"951.2891.4501.57";
"13.04.2026  09:37:16.553";"00:00:00:00.296";"";"45";"Lado 13,8kV:50/51 OC-Pos.Seq.1:Group indicat.";"Pickup";"off";"good (process)";"Data change";"951.2891.4501.55";
"13.04.2026  09:37:16.552";"00:00:00:00.295";"";"44";"DJ289kV:Circuit break.";"Trip/open cmd.";"off";"good (process)";"Data change";"201.4261.300";
"13.04.2026  09:37:16.552";"00:00:00:00.295";"";"43";"DJ289kV:Trip logic";"Trip indication";"off";"good (process)";"Data change";"201.5341.300";
"13.04.2026  09:37:16.552";"00:00:00:00.295";"";"42";"DJ138kV:Trip logic";"Trip indication";"off";"good (process)";"Data change";"202.5341.300";
"13.04.2026  09:37:16.552";"00:00:00:00.295";"";"41";"Lado 13,8kV:Group indicat.";"Operate";"off";"good (process)";"Data change";"951.4501.57";
"13.04.2026  09:37:16.552";"00:00:00:00.295";"";"40";"Lado 13,8kV:Group indicat.";"Pickup";"off";"good (process)";"Data change";"951.4501.55";
"13.04.2026  09:37:16.552";"00:00:00:00.295";"";"39";"Lado 13,8kV:50/51 OC-Pos.Seq.1:Definite-T 1";"Operate";"off";"good (process)";"Data change";"951.2891.20581.57";
"13.04.2026  09:37:16.552";"00:00:00:00.295";"";"38";"Lado 13,8kV:50/51 OC-Pos.Seq.1:Definite-T 1";"Pickup";"off";"good (process)";"Data change";"951.2891.20581.55";
"13.04.2026  09:37:16.532";"00:00:00:00.275";"";"37";"DJ289kV:Circuit break.";"Position";"SPN open";"good (process)";"Data change";"201.4261.58";
"13.04.2026  09:37:16.529";"00:00:00:00.272";"";"36";"DJ289kV:Circuit break.";"Position";"SPN intermediate";"good (process)";"Data change";"201.4261.58";
"13.04.2026  09:37:16.512";"00:00:00:00.255";"";"35";"DJ289kV:Circuit break.";"Definitive trip";"on";"good (process)";"Data change";"201.4261.303";
"13.04.2026  09:37:16.512";"00:00:00:00.255";"";"34";"DJ138kV:Circuit break.";"Definitive trip";"on";"good (process)";"Data change";"202.4261.303";
"13.04.2026  09:37:16.496";"00:00:00:00.239";"";"33";"DJ289kV:Circuit break.";"Break. current 3I0/IN";"39 A";"good (process)";"Data update";"201.4261.317";
"13.04.2026  09:37:16.496";"00:00:00:00.239";"";"32";"DJ138kV:Circuit break.";"Break. current 3I0/IN";"2 A";"good (process)";"Data update";"202.4261.317";
